_id,customer_id
1,228
2,222
3,207
4,198
5,257
6,193
7,22
8,274
9,104
10,249
11,242
12,13
13,174
14,34
15,51
16,50
17,232
18,221
19,152
20,170
21,147
22,267
23,6
24,7
25,158
26,136
27,57
28,258
29,94
30,58
31,196
32,156
33,27
34,238
35,262
36,185
37,268
38,47
39,227
40,62
41,214
42,288
43,243
44,46
45,30
46,125
47,259
48,291
49,34
50,209
51,138
52,123
53,295
54,118
55,180
56,36
57,212
58,256
59,218
60,155
61,172
62,226
63,252
64,169
65,63
66,34
67,276
68,168
69,176
70,176
71,30
72,206
73,37
74,128
75,296
76,170
77,231
78,258
79,164
80,79
81,176
82,175
83,43
84,8
85,203
86,93
87,96
88,34
89,134
90,70
91,211
92,187
93,135
94,220
95,112
96,118
97,296
98,210
99,24
100,124
101,120
102,294
103,24
104,112
105,4
106,143
107,239
108,78
109,15
110,190
111,87
112,216
113,60
114,124
115,77
116,122
117,17
118,182
119,250
120,16
121,230
122,271
123,78
124,136
125,287
126,137
127,153
128,140
129,119
130,8
131,245
132,249
133,267
134,94
135,143
136,265
137,230
138,142
139,273
140,293
141,33
142,79
143,83
144,296
145,50
146,163
147,171
148,116
149,89
150,61
151,14
152,187
153,267
154,197
155,97
156,273
157,253
158,253
159,247
160,56
161,118
162,20
163,40
164,173
165,274
166,43
167,135
168,7
169,63
170,106
171,81
172,261
173,239
174,138
175,250
176,138
177,219
178,158
179,176
180,230
181,255
182,197
183,99
184,45
185,184
186,243
187,143
188,86
189,87
190,161
191,241
192,35
193,190
194,227
195,266
196,177
197,3
198,233
199,168
200,70
201,252
202,80
203,236
204,12
205,256
206,233
207,295
208,15
209,100
210,125
211,210
212,266
213,134
214,38
215,109
216,185
217,237
218,171
219,292
220,288
221,182
222,82
223,213
224,46
225,57
226,49
227,118
228,133
229,230
230,145
231,43
232,196
233,73
234,258
235,228
236,96
237,227
238,91
239,203
240,252
241,96
242,69
243,37
244,190
245,298
246,120
247,53
248,79
249,20
250,162
251,274
252,39
253,175
254,191
255,230
256,18
257,195
258,2
259,222
260,100
261,102
262,12
263,131
264,53
265,57
266,182
267,272
268,194
269,139
270,105
271,122
272,145
273,59
274,169
275,177
276,100
277,251
278,127
279,48
280,12
281,15
282,124
283,264
284,100
285,15
286,74
287,154
288,104
289,200
290,224
291,75
292,198
293,274
294,12
295,49
296,80
297,158
298,157
299,266
300,26
301,174
302,293
303,74
304,226
305,75
306,190
307,145
308,210
309,212
310,110
311,281
312,203
313,235
314,268
315,72
316,142
317,149
318,154
319,272
320,19
321,150
322,198
323,260
324,99
325,34
326,140
327,93
328,253
329,282
330,33
331,19
